Benchmark,Mode,Threads,Samples,Score,Score Error (99.9%),Unit,Param: filename,Param: thumbSize
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.alloc.rate,avgt,1,3,215,461,MB/sec,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.alloc.rate.norm,avgt,1,3,"2,865,289,707","5,596,801",B/op,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Eden_Space,avgt,1,3,109,999,MB/sec,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Eden_Space.norm,avgt,1,3,"1,431,655,765","11,309,742,166",B/op,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Old_Gen,avgt,1,3,105,227,MB/sec,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Old_Gen.norm,avgt,1,3,"1,398,889,357","25,676,528",B/op,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Survivor_Space,avgt,1,3,0,2,MB/sec,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Survivor_Space.norm,avgt,1,3,"1,115,523","32,193,142",B/op,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.count,avgt,1,3,4,NaN,counts,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.time,avgt,1,3,"1,204",NaN,ms,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.scalrSimple,avgt,1,3,11,1,s/op,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.alloc.rate,avgt,1,3,143,10,MB/sec,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.alloc.rate.norm,avgt,1,3,"1,704,356,048","6,033,412",B/op,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Eden_Space,avgt,1,3,90,6,MB/sec,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Eden_Space.norm,avgt,1,3,"1,073,741,824",0,B/op,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Old_Gen,avgt,1,3,71,4,MB/sec,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Old_Gen.norm,avgt,1,3,"852,062,701","6,971,046",B/op,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Survivor_Space,avgt,1,3,0,0,MB/sec,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Survivor_Space.norm,avgt,1,3,"790,456","2,155,436",B/op,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.count,avgt,1,3,6,NaN,counts,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.time,avgt,1,3,342,NaN,ms,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer,avgt,1,3,0,0,s/op,land-100kb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.alloc.rate,avgt,1,3,162,53,MB/sec,land-100kb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.alloc.rate.norm,avgt,1,3,"2,543,165","38,485",B/op,land-100kb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.count,avgt,1,3,0,NaN,counts,land-100kb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer,avgt,1,3,1,1,s/op,crowd-3mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.alloc.rate,avgt,1,3,233,141,MB/sec,crowd-3mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.alloc.rate.norm,avgt,1,3,"238,473,185","2,229,940",B/op,crowd-3mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.churn.PS_Eden_Space,avgt,1,3,169,"5,328",MB/sec,crowd-3mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.churn.PS_Eden_Space.norm,avgt,1,3,"176,878,352","5,589,188,698",B/op,crowd-3mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.count,avgt,1,3,1,NaN,counts,crowd-3mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.time,avgt,1,3,70,NaN,ms,crowd-3mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer,avgt,1,3,8,6,s/op,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.alloc.rate,avgt,1,3,250,166,MB/sec,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.alloc.rate.norm,avgt,1,3,"2,271,984,827","5,265,119",B/op,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.churn.PS_Eden_Space,avgt,1,3,154,"1,110",MB/sec,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.churn.PS_Eden_Space.norm,avgt,1,3,"1,409,049,939","10,595,419,415",B/op,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.churn.PS_Old_Gen,avgt,1,3,211,804,MB/sec,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.churn.PS_Old_Gen.norm,avgt,1,3,"1,932,382,944","8,419,212,953",B/op,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.count,avgt,1,3,6,NaN,counts,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.time,avgt,1,3,"1,660",NaN,ms,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer,avgt,1,3,3,1,s/op,building-30mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.alloc.rate,avgt,1,3,188,70,MB/sec,building-30mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.alloc.rate.norm,avgt,1,3,"702,380,989","3,995,301",B/op,building-30mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.churn.PS_Eden_Space,avgt,1,3,271,281,MB/sec,building-30mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.churn.PS_Eden_Space.norm,avgt,1,3,"1,014,469,648","1,086,386,487",B/op,building-30mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.churn.PS_Old_Gen,avgt,1,3,172,"5,426",MB/sec,building-30mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.churn.PS_Old_Gen.norm,avgt,1,3,"657,415,784","20,773,717,238",B/op,building-30mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.churn.PS_Survivor_Space,avgt,1,3,0,6,MB/sec,building-30mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.churn.PS_Survivor_Space.norm,avgt,1,3,"1,131,803","22,338,962",B/op,building-30mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.count,avgt,1,3,4,NaN,counts,building-30mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.time,avgt,1,3,514,NaN,ms,building-30mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer,avgt,1,3,7,9,s/op,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.alloc.rate,avgt,1,3,224,279,MB/sec,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.alloc.rate.norm,avgt,1,3,"1,702,164,003","2,620,292",B/op,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.churn.PS_Eden_Space,avgt,1,3,178,"1,132",MB/sec,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.churn.PS_Eden_Space.norm,avgt,1,3,"1,357,661,544","8,971,594,728",B/op,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.churn.PS_Old_Gen,avgt,1,3,257,"1,359",MB/sec,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.churn.PS_Old_Gen.norm,avgt,1,3,"1,948,957,421","9,475,370,478",B/op,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.churn.PS_Survivor_Space,avgt,1,3,13,211,MB/sec,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.churn.PS_Survivor_Space.norm,avgt,1,3,"100,325,872","1,580,162,548",B/op,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.count,avgt,1,3,7,NaN,counts,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.time,avgt,1,3,"1,134",NaN,ms,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer,avgt,1,3,16,1,s/op,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.alloc.rate,avgt,1,3,190,8,MB/sec,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.alloc.rate.norm,avgt,1,3,"3,218,664,413","6,032,937",B/op,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.churn.PS_Eden_Space,avgt,1,3,64,2,MB/sec,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.churn.PS_Eden_Space.norm,avgt,1,3,"1,073,741,824",0,B/op,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.churn.PS_Old_Gen,avgt,1,3,118,4,MB/sec,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.churn.PS_Old_Gen.norm,avgt,1,3,"1,987,436,467","2,984,180",B/op,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.count,avgt,1,3,3,NaN,counts,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.time,avgt,1,3,367,NaN,ms,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling2,avgt,1,3,0,0,s/op,land-100kb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.alloc.rate,avgt,1,3,69,61,MB/sec,land-100kb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.alloc.rate.norm,avgt,1,3,"448,900","14,904",B/op,land-100kb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.count,avgt,1,3,0,NaN,counts,land-100kb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling2,avgt,1,3,0,0,s/op,crowd-3mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.alloc.rate,avgt,1,3,83,81,MB/sec,crowd-3mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.alloc.rate.norm,avgt,1,3,"31,733,069","898,566",B/op,crowd-3mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.count,avgt,1,3,0,NaN,counts,crowd-3mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling2,avgt,1,3,2,3,s/op,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.alloc.rate,avgt,1,3,103,94,MB/sec,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.alloc.rate.norm,avgt,1,3,"303,367,331","5,293,435",B/op,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.churn.PS_Eden_Space,avgt,1,3,115,"3,632",MB/sec,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.churn.PS_Eden_Space.norm,avgt,1,3,"357,913,941","11,309,742,166",B/op,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.count,avgt,1,3,1,NaN,counts,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.time,avgt,1,3,98,NaN,ms,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling2,avgt,1,3,1,0,s/op,building-30mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.alloc.rate,avgt,1,3,51,6,MB/sec,building-30mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.alloc.rate.norm,avgt,1,3,"94,291,544","3,976,053",B/op,building-30mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.count,avgt,1,3,0,NaN,counts,building-30mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling2,avgt,1,3,2,1,s/op,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.alloc.rate,avgt,1,3,78,37,MB/sec,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.alloc.rate.norm,avgt,1,3,"226,567,597","2,597,115",B/op,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.churn.PS_Eden_Space,avgt,1,3,119,"3,770",MB/sec,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.churn.PS_Eden_Space.norm,avgt,1,3,"357,913,941","11,309,742,166",B/op,mountains-20mb.jpg,200
