Benchmark,Mode,Threads,Samples,Score,Score Error (99.9%),Unit,Param: filename,Param: thumbSize
thumbnail.ThumbnailBenchmark.subsampling8,avgt,1,3,2,0,s/op,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling8:ובgc.alloc.rate,avgt,1,3,7,2,MB/sec,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling8:ובgc.alloc.rate.norm,avgt,1,3,"14,666,899","2,613,082",B/op,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling8:ובgc.count,avgt,1,3,0,NaN,counts,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling8,avgt,1,3,10,6,s/op,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.subsampling8:ובgc.alloc.rate,avgt,1,3,8,5,MB/sec,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.subsampling8:ובgc.alloc.rate.norm,avgt,1,3,"87,453,800","5,612,254",B/op,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.subsampling8:ובgc.count,avgt,1,3,0,NaN,counts,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.subsampling8,avgt,1,3,10,1,s/op,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling8:ובgc.alloc.rate,avgt,1,3,3,0,MB/sec,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling8:ובgc.alloc.rate.norm,avgt,1,3,"27,055,859","6,034,651",B/op,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling8:ובgc.count,avgt,1,3,0,NaN,counts,salt-lake-340mb.jpg,200
